matricula_hash,Porcentagem media de problemas aceitos por contest,Porcentagem media de problemas que tiveram alguma tentativa por contest,Media do numero de submissoes em problemas aceitos,Porcentagem media de problemas sem submissoes por contest,Porcentagem media de problemas que tiveram poucas tentativas e nao foram aceitos por contest,Porcentagem media de problemas que tiveram muitas tentativas e nao foram aceitos por contest,Porcentagem media de problemas que tiveram poucas tentativas e foram aceitos por contest,Porcentagem media de problemas que tiveram muitas tentativas e foram aceitos por contest,Porcentagem media de submissoes como 'Wrong Answer' por contest,Porcentagem media de submissoes como 'Compilation Error' por contest,Porcentagem media de submissoes como 'Presentation Error' por contest,Porcentagem media de submissoes como 'Runtime Error' por contest,Porcentagem media de submissoes como 'Time Limit Exceeded' por contest,Reprovado
13691f00cb017671d5ec838415473cd86f4552abffa59961a3850ca7a204d6be,20.83,20.83,1.29,79.17,0.0,0.0,20.83,0.0,4.32,0.0,0.0,0.0,0.0,1
09f70902c186765c8015a6897b24930f6e7c9ae5e2ae10627a9db42356ac0fbf,77.78,85.97,1.47,14.03,8.19,0.0,77.78,0.0,32.92,1.39,1.97,0.0,2.89,0
cccd9b561f6be3143b8ff0eee5c1c96a478e25f030f89dd5933607d0e3269089,43.61,60.14,4.19,39.86,16.53,0.0,35.28,8.33,50.12,3.64,1.85,1.35,3.65,0
a88c26dd29e87deffb39720eeadc27c503fb8cc231520b46665ff836a4a98898,6.39,7.78,3.75,92.22,1.39,0.0,6.39,0.0,18.06,1.85,0.0,0.0,0.0,1
a295359500eb864856b625eff9b4053abd710657601d5a424000e03fb3b70049,11.39,12.78,2.57,87.22,1.39,0.0,11.39,0.0,15.28,2.78,4.86,0.0,0.0,1
9a2f523ca607dde97560a019b5ee630714da3d71a273eeb85c559f4be214bf09,46.11,50.97,1.66,49.03,4.86,0.0,46.11,0.0,26.9,1.67,10.22,1.39,0.0,1
19b43d008633aae7c80e1dbda493ae14212b5fa548567f3ac7ee055d60d91a6f,49.44,61.53,1.81,38.47,12.08,0.0,49.44,0.0,35.12,0.69,5.46,3.18,4.17,0
71454be5276eb3d76b4d78f0e6ed5c4f3100437aed681b4ccd42c2cd0fccc580,46.11,46.11,1.76,53.89,0.0,0.0,44.72,1.39,16.62,2.78,4.32,2.38,0.0,0
78c9d7e07f481abe595e8af35ab2b307895c0450c3276f85115504907305691c,19.58,23.06,1.64,76.94,3.47,0.0,19.58,0.0,17.08,0.0,3.75,0.0,4.17,0
7ae1144fa4836e80c9b4ceaaf4d5c076471cb0a5248bb2e7b9f67fbb9afbc423,44.31,48.47,1.17,51.53,4.17,0.0,44.3,0.0,13.54,0.0,1.04,0.0,0.0,0
bc3c2360d9fc38b956c5c979c0e520d10896b9e0033192c12c5b54a5ba553c40,29.17,35.69,1.59,64.31,6.53,0.0,29.17,0.0,27.49,0.0,0.0,1.39,0.0,0
917b43598c2c9a051b3e67d3091cb8397c3d7d84cf8c48d360b28ebd9205ee61,51.67,54.72,1.34,45.28,3.06,0.0,51.67,0.0,22.02,1.39,1.19,0.0,0.0,0
63c0b75de1a26a5aa5c92a26865856289551e04b311d2cf3ae0d7dbbc26b1933,0.0,5.14,0,94.86,5.14,0.0,0.0,0.0,20.83,4.17,0.0,0.0,0.0,1
22a3f0ac2b844406abb20f191a36f739eccec8faf1f20504f1c7b85855719842,19.17,30.56,2.0,69.44,11.39,0.0,19.17,0.0,38.47,9.72,1.67,4.17,1.39,1
312c31c24c04740976df1dc61978bcb5d493372ad6d89b92192ad6fe85b765e9,64.17,69.58,1.44,30.42,5.42,0.0,64.17,0.0,19.52,5.47,0.0,0.0,1.04,0
ee1fb8c2389c9131c9690c615b0421e3ef85ef2e0d8708753cc4537f37b43b16,50.28,50.28,1.56,49.72,0.0,0.0,50.28,0.0,12.82,0.93,7.73,0.0,0.0,0
7e18ed6b6a4f5e6c0561ad442105ae448760a05c7a9d6a8b0ee2338bfc8a215a,42.5,45.97,1.22,54.03,3.47,0.0,42.5,0.0,14.38,2.08,0.0,0.0,0.0,0
11a5327006ae74d6d626ae11682159b2ddec2b35f06c1e5cb8f6af71d62b6150,76.25,81.67,1.48,18.33,5.42,0.0,76.25,0.0,24.84,0.0,1.52,1.39,0.93,0
6dfded1f5fe1e7d726335c953221f00f879b1d165e3343e8c5a6ab250cccc1b5,37.22,42.36,1.75,57.64,5.14,0.0,37.22,0.0,30.65,3.12,9.18,1.04,0.0,0
eb6e1b9daaaaa5696fa850633c5515c433d5b87d23ba747fae1b1d241bf352d7,40.56,44.31,1.35,55.69,3.75,0.0,40.56,0.0,18.89,0.0,10.0,0.0,0.0,1
2f81a633e150ba38e0f28d4150a4233c973c48ea75f4c04785c7051bb2da6476,44.31,47.08,1.74,52.92,2.78,0.0,44.3,0.0,21.53,3.75,4.17,0.0,1.04,0
77264daeadb16a58e6db05b32caa18a6e14a87b11eb5b5304e93df06d976ebac,35.56,42.08,1.43,57.92,6.53,0.0,35.56,0.0,18.06,4.17,0.93,0.0,0.0,1
7cda355a22474ae1d504842a79d0b63b8df88d3112577e84a3a7c24c4527cd6e,27.08,28.75,1.53,71.25,1.67,0.0,27.08,0.0,19.03,0.0,1.67,0.0,0.0,1
0cb5004a50336e2f3e167850f4b4b478a85246cd7d4e939ddf20f2b84eeb9442,26.79,32.82,1.74,67.18,6.03,0.0,25.26,1.54,24.88,3.85,1.71,0.0,0.0,1
45a5765542b4b729c15ea4cb923fb57ebc605974ce5f12f17d105fa66c986467,72.95,75.51,1.43,24.49,2.56,0.0,72.95,0.0,25.71,0.0,2.5,1.1,1.92,0
bea1fd598b044294e94c08fb6ba66c880547527b0fca4c98433ea5c5255b6486,48.46,51.92,1.82,48.08,1.92,1.54,48.46,0.0,23.21,11.18,5.37,0.0,0.0,1
799b2f548873803efe48c048658e7a32e405e76d7e663f0d12ecfa1673b00537,68.85,73.59,1.44,26.41,4.74,0.0,68.85,0.0,18.87,3.66,7.51,0.0,0.0,0
c4506198362a6220a047d58436157cb7b979a17b26468919083b35cb98f15b30,30.9,33.46,1.36,66.54,2.56,0.0,30.9,0.0,10.77,0.0,2.82,0.0,0.0,1
bcb38285a751e5bcfddde8b7f29c0908f8e8eba18faa760212562ca07f9eef7f,14.1,14.1,1.7,85.9,0.0,0.0,14.1,0.0,4.52,0.0,2.2,0.0,0.0,0
aaa3ab1e01811252bb31de41636113bc47293fe336a7ea78a8ee1f58608a1abf,56.15,61.54,2.08,38.46,2.56,2.82,56.15,0.0,39.56,8.78,5.24,1.92,0.0,0
cf6336d49584f825d46a57f67e604990f3ad494e8dcfb71ed8d1ef644f25edcd,88.85,88.85,1.27,11.15,0.0,0.0,88.85,0.0,9.6,0.96,0.96,0.77,0.0,0
68fcd3b793482448ca94a2241db04843ab272b8d8677343341fb7d18ea5485c6,56.67,59.87,1.92,40.13,3.21,0.0,56.67,0.0,34.26,1.1,4.13,0.0,0.0,0
abaed87e2373eb3a8a03366d7c863fd66dbda275d92fc9701378e675ba5ef576,78.85,80.13,1.16,19.87,1.28,0.0,78.85,0.0,5.59,0.96,2.38,0.0,2.2,0
